month,region,service_category,channel,transactions,unique_users,digital_adoption_pct,avg_completion_min,cost_per_txn_sar,csat,sla_met_pct,complaints
2021-07-01,Asir,Labour & HR Services,Call Center,12538,7642,38.1,19.0,20.32,3.57,93.4,15
2021-07-01,Asir,Labour & HR Services,Mobile App,10711,4126,38.1,6.9,4.95,4.2,97.6,5
2021-07-01,Asir,Labour & HR Services,Web Portal,13364,6775,38.1,10.8,7.14,4.06,99.3,7
2021-07-01,Asir,Municipal Services,Branch,29023,23742,40.5,36.5,50.38,3.39,87.6,27
2021-07-01,Asir,Municipal Services,Call Center,12436,7875,40.5,22.5,26.09,3.57,90.6,13
2021-07-01,Asir,Municipal Services,Mobile App,14105,5575,40.5,9.6,4.9,4.22,95.3,6
2021-07-01,Asir,Municipal Services,Web Portal,16664,8561,40.5,13.7,8.08,3.94,96.1,10
2021-07-01,Asir,Social Support & Subsidies,Branch,23153,18651,36.3,36.2,43.37,3.32,89.6,25
2021-07-01,Asir,Social Support & Subsidies,Call Center,11241,7272,36.3,21.3,19.41,3.67,93.5,12
2021-07-01,Asir,Social Support & Subsidies,Mobile App,7854,3033,36.3,7.7,4.77,4.44,96.9,3
2021-07-01,Asir,Social Support & Subsidies,Web Portal,11130,5656,36.3,12.3,6.95,3.94,94.2,8
2021-07-01,Asir,Traffic & Transport,Branch,35936,28192,39.7,28.1,42.76,3.43,88.1,50
2021-07-01,Asir,Traffic & Transport,Call Center,15578,9919,39.7,16.9,19.03,3.64,89.2,15
2021-07-01,Asir,Traffic & Transport,Mobile App,15340,5851,39.7,5.8,3.97,4.27,97.7,9
2021-07-01,Asir,Traffic & Transport,Web Portal,20450,10418,39.7,10.3,6.54,3.94,95.5,15
2021-07-01,Eastern Province,Business & Licensing,Branch,64153,50942,35.4,49.6,47.03,3.33,83.5,99
2021-07-01,Eastern Province,Business & Licensing,Call Center,25692,16086,35.4,33.4,22.41,3.52,90.5,28
2021-07-01,Eastern Province,Business & Licensing,Mobile App,22587,9128,35.4,11.7,5.27,4.32,94.9,10
2021-07-01,Eastern Province,Business & Licensing,Web Portal,27278,14173,35.4,15.2,8.3,3.98,94.3,24
2021-07-01,Eastern Province,Education & Training,Branch,74786,63282,37.9,24.3,34.78,3.74,88.2,57
2021-07-01,Eastern Province,Education & Training,Call Center,34437,21529,37.9,14.7,16.24,3.91,90.3,30
2021-07-01,Eastern Province,Education & Training,Mobile App,27857,10467,37.9,5.7,3.76,4.68,96.6,4
2021-07-01,Eastern Province,Education & Training,Web Portal,38229,20188,37.9,8.4,5.77,4.28,97.4,13
2021-07-01,Eastern Province,Health Services,Branch,103850,87988,35.8,28.3,43.32,3.64,88.1,136
2021-07-01,Eastern Province,Health Services,Call Center,44594,26961,35.8,20.2,20.08,3.84,87.8,39
2021-07-01,Eastern Province,Health Services,Mobile App,38340,14735,35.8,6.0,4.22,4.55,96.9,8
2021-07-01,Eastern Province,Health Services,Web Portal,45380,22826,35.8,9.6,6.15,4.25,96.9,21
2021-07-01,Eastern Province,Identity & Civil Affairs,Branch,109164,89326,35.9,30.9,41.99,3.68,91.4,131
2021-07-01,Eastern Province,Identity & Civil Affairs,Call Center,48245,31698,35.9,20.5,18.14,3.74,85.7,50
2021-07-01,Eastern Province,Identity & Civil Affairs,Mobile App,39805,16082,35.9,7.6,4.17,4.49,97.7,13
2021-07-01,Eastern Province,Identity & Civil Affairs,Web Portal,48989,24753,35.9,9.9,6.07,4.22,98.3,25
2021-07-01,Eastern Province,Justice & Notary,Branch,40463,33466,35.3,52.4,52.15,3.46,85.2,42
2021-07-01,Eastern Province,Justice & Notary,Call Center,18456,11653,35.3,38.1,23.08,3.59,88.2,15
2021-07-01,Eastern Province,Justice & Notary,Mobile App,14807,5684,35.3,11.9,5.49,4.35,98.6,7
2021-07-01,Eastern Province,Justice & Notary,Web Portal,17524,8754,35.3,18.5,7.97,3.96,96.6,13
2021-07-01,Eastern Province,Labour & HR Services,Branch,70368,53343,36.1,31.9,39.27,3.48,89.7,94
2021-07-01,Eastern Province,Labour & HR Services,Call Center,29147,18199,36.1,22.3,19.91,3.75,85.4,23
2021-07-01,Eastern Province,Labour & HR Services,Mobile App,25266,9673,36.1,7.4,4.08,4.36,97.1,8
2021-07-01,Eastern Province,Labour & HR Services,Web Portal,30399,15708,36.1,10.3,6.01,4.11,98.7,20
2021-07-01,Eastern Province,Municipal Services,Branch,78124,67129,37.0,38.2,46.44,3.45,89.2,88
2021-07-01,Eastern Province,Municipal Services,Call Center,32768,21083,37.0,21.0,19.33,3.67,87.9,40
2021-07-01,Eastern Province,Municipal Services,Mobile App,27681,10379,37.0,7.4,4.4,4.25,95.2,14
2021-07-01,Eastern Province,Municipal Services,Web Portal,34952,17985,37.0,9.6,6.97,4.1,95.7,24
2021-07-01,Eastern Province,Social Support & Subsidies,Branch,53849,46699,34.5,35.7,37.62,3.53,88.8,58
2021-07-01,Eastern Province,Social Support & Subsidies,Call Center,22962,15078,34.5,22.1,19.09,3.75,86.3,24
2021-07-01,Eastern Province,Social Support & Subsidies,Mobile App,19603,7431,34.5,7.4,4.63,4.4,97.1,6
2021-07-01,Eastern Province,Social Support & Subsidies,Web Portal,22432,11448,34.5,12.5,6.71,4.2,97.0,16
2021-07-01,Eastern Province,Traffic & Transport,Branch,97751,79011,37.8,27.9,41.25,3.33,88.6,130
2021-07-01,Eastern Province,Traffic & Transport,Call Center,42290,28139,37.8,15.7,18.25,3.67,90.5,33
2021-07-01,Eastern Province,Traffic & Transport,Mobile App,35556,13682,37.8,5.5,3.68,4.25,99.2,27
2021-07-01,Eastern Province,Traffic & Transport,Web Portal,46171,24399,37.8,8.1,5.82,4.09,97.7,33
2021-07-01,Hail,Business & Licensing,Branch,9757,8063,30.1,53.7,53.74,3.24,88.0,17
2021-07-01,Hail,Business & Licensing,Call Center,3873,2339,30.1,32.4,24.15,3.51,87.9,4
2021-07-01,Hail,Business & Licensing,Mobile App,2520,973,30.1,10.3,5.38,4.25,95.8,1
2021-07-01,Hail,Business & Licensing,Web Portal,3344,1709,30.1,19.9,8.03,3.94,95.5,2
2021-07-01,Hail,Education & Training,Branch,11593,9721,35.2,30.6,37.34,3.53,88.4,14
2021-07-01,Hail,Education & Training,Call Center,5099,3466,35.2,16.8,17.63,3.72,89.5,5
2021-07-01,Hail,Education & Training,Mobile App,4071,1554,35.2,6.8,3.97,4.54,95.3,1
2021-07-01,Hail,Education & Training,Web Portal,4605,2283,35.2,8.2,6.51,4.27,94.1,3
2021-07-01,Hail,Health Services,Branch,15551,12611,33.6,28.5,43.21,3.63,90.8,17
2021-07-01,Hail,Health Services,Call Center,6719,4095,33.6,20.5,20.13,3.87,86.9,7
2021-07-01,Hail,Health Services,Mobile App,4907,1840,33.6,7.4,4.94,4.45,92.6,2
2021-07-01,Hail,Health Services,Web Portal,6051,3007,33.6,8.6,6.28,4.38,96.3,3
2021-07-01,Hail,Identity & Civil Affairs,Branch,15755,13232,35.6,38.8,40.3,3.59,82.0,20
2021-07-01,Hail,Identity & Civil Affairs,Call Center,6664,4296,35.6,20.8,18.75,3.85,87.7,6
2021-07-01,Hail,Identity & Civil Affairs,Mobile App,4806,1680,35.6,7.6,4.4,4.4,97.9,2
2021-07-01,Hail,Identity & Civil Affairs,Web Portal,6863,3560,35.6,11.8,6.37,4.37,95.1,3
2021-07-01,Hail,Justice & Notary,Branch,6334,5154,28.0,59.3,55.73,3.2,83.9,5
2021-07-01,Hail,Justice & Notary,Call Center,2778,1759,28.0,37.4,28.29,3.64,87.5,3
2021-07-01,Hail,Justice & Notary,Mobile App,1567,580,28.0,13.3,5.24,4.39,93.4,0
2021-07-01,Hail,Justice & Notary,Web Portal,1911,978,28.0,19.3,9.08,4.01,97.7,1
2021-07-01,Hail,Labour & HR Services,Branch,9805,7971,33.3,29.5,46.0,3.52,88.5,13
2021-07-01,Hail,Labour & HR Services,Call Center,4200,2785,33.3,21.4,20.17,3.6,86.5,5
2021-07-01,Hail,Labour & HR Services,Mobile App,3205,1263,33.3,6.9,4.45,4.25,98.0,2
2021-07-01,Hail,Labour & HR Services,Web Portal,4094,1940,33.3,12.3,7.04,4.07,99.5,2
2021-07-01,Hail,Municipal Services,Branch,11616,9214,32.9,41.4,48.2,3.28,87.4,20
2021-07-01,Hail,Municipal Services,Call Center,4936,3214,32.9,22.0,23.6,3.73,89.0,5
2021-07-01,Hail,Municipal Services,Mobile App,3369,1211,32.9,9.5,4.51,4.26,96.8,1
2021-07-01,Hail,Municipal Services,Web Portal,4154,2077,32.9,12.7,6.98,4.04,93.8,2
2021-07-01,Hail,Social Support & Subsidies,Branch,8548,6835,30.7,32.7,44.74,3.48,86.1,8
2021-07-01,Hail,Social Support & Subsidies,Call Center,3428,2182,30.7,24.3,20.42,3.85,87.1,3
2021-07-01,Hail,Social Support & Subsidies,Mobile App,2458,917,30.7,7.5,4.4,4.39,97.7,0
2021-07-01,Hail,Social Support & Subsidies,Web Portal,2898,1532,30.7,13.4,6.59,4.23,96.5,1
2021-07-01,Hail,Traffic & Transport,Branch,13835,11399,32.1,30.0,37.55,3.48,86.9,18
2021-07-01,Hail,Traffic & Transport,Call Center,5865,3765,32.1,20.4,17.74,3.6,88.0,4
2021-07-01,Hail,Traffic & Transport,Mobile App,4365,1671,32.1,5.9,3.88,4.19,96.9,3
2021-07-01,Hail,Traffic & Transport,Web Portal,5369,2783,32.1,9.6,6.2,3.97,97.4,4
2021-07-01,Jazan,Business & Licensing,Branch,21804,18618,27.2,115.1,62.08,2.83,82.8,39
2021-07-01,Jazan,Business & Licensing,Call Center,9806,6206,27.2,38.5,29.76,3.19,89.5,15
2021-07-01,Jazan,Business & Licensing,Mobile App,5395,2061,27.2,12.3,6.73,3.92,96.9,2
2021-07-01,Jazan,Business & Licensing,Web Portal,6676,3454,27.2,21.2,9.89,3.57,94.6,8
2021-07-01,Jazan,Education & Training,Branch,28935,23900,28.6,27.7,46.51,3.26,90.9,45
2021-07-01,Jazan,Education & Training,Call Center,12095,7933,28.6,20.1,20.63,3.61,87.0,16
2021-07-01,Jazan,Education & Training,Mobile App,7200,2786,28.6,7.0,4.52,4.02,94.4,3
2021-07-01,Jazan,Education & Training,Web Portal,8924,4702,28.6,10.4,6.7,3.89,98.9,7
2021-07-01,Jazan,Health Services,Branch,34869,30467,30.4,34.6,50.37,3.22,89.0,47
2021-07-01,Jazan,Health Services,Call Center,14994,9544,30.4,20.5,22.73,3.58,87.6,17
2021-07-01,Jazan,Health Services,Mobile App,9703,3676,30.4,8.1,5.62,4.22,95.2,7
2021-07-01,Jazan,Health Services,Web Portal,11817,5929,30.4,10.8,7.15,4.12,95.7,7
2021-07-01,Jazan,Identity & Civil Affairs,Branch,42027,33834,27.6,39.5,44.4,3.21,88.6,64
2021-07-01,Jazan,Identity & Civil Affairs,Call Center,16818,11057,27.6,25.2,21.22,3.53,93.0,23
2021-07-01,Jazan,Identity & Civil Affairs,Mobile App,10027,3643,27.6,9.0,4.85,4.17,95.5,7
2021-07-01,Jazan,Identity & Civil Affairs,Web Portal,12023,6134,27.6,12.2,7.83,3.86,96.0,13
2021-07-01,Jazan,Justice & Notary,Branch,15225,12570,25.0,194.8,63.33,2.82,76.8,36
2021-07-01,Jazan,Justice & Notary,Call Center,6271,3991,25.0,39.6,27.58,3.12,86.6,8
2021-07-01,Jazan,Justice & Notary,Mobile App,3195,1210,25.0,14.0,6.96,3.89,92.2,3
2021-07-01,Jazan,Justice & Notary,Web Portal,3886,1907,25.0,24.4,8.76,3.73,97.5,4
2021-07-01,Jazan,Labour & HR Services,Branch,24601,19722,26.8,39.5,48.89,3.08,88.1,40
2021-07-01,Jazan,Labour & HR Services,Call Center,10457,6946,26.8,21.5,21.34,3.37,92.6,12
2021-07-01,Jazan,Labour & HR Services,Mobile App,6094,2318,26.8,8.0,5.29,4.01,95.3,2
2021-07-01,Jazan,Labour & HR Services,Web Portal,7305,3953,26.8,12.8,7.37,3.9,96.7,5
2021-07-01,Jazan,Municipal Services,Branch,27580,22625,28.1,43.6,53.1,3.07,84.5,42
2021-07-01,Jazan,Municipal Services,Call Center,11624,7499,28.1,27.2,24.35,3.2,86.6,13
2021-07-01,Jazan,Municipal Services,Mobile App,6649,2507,28.1,9.8,6.15,3.96,96.3,4
2021-07-01,Jazan,Municipal Services,Web Portal,8402,4188,28.1,14.7,7.83,3.68,99.5,10
2021-07-01,Jazan,Social Support & Subsidies,Branch,20014,16626,27.5,41.8,48.46,3.06,82.7,28
2021-07-01,Jazan,Social Support & Subsidies,Call Center,8268,5289,27.5,26.3,24.18,3.47,89.5,9
2021-07-01,Jazan,Social Support & Subsidies,Mobile App,4902,1873,27.5,8.5,5.02,4.21,96.3,2
2021-07-01,Jazan,Social Support & Subsidies,Web Portal,6059,3074,27.5,13.4,7.1,3.86,95.1,6
2021-07-01,Jazan,Traffic & Transport,Branch,34714,27591,30.7,31.1,50.05,3.05,90.4,49
2021-07-01,Jazan,Traffic & Transport,Call Center,13640,9009,30.7,20.9,21.58,3.28,87.5,22
2021-07-01,Jazan,Traffic & Transport,Mobile App,9693,3391,30.7,6.4,4.98,3.96,95.4,8
2021-07-01,Jazan,Traffic & Transport,Web Portal,12415,6054,30.7,9.5,7.69,3.71,94.2,11
2021-07-01,Madinah,Business & Licensing,Branch,28132,22663,28.8,56.7,50.7,3.44,85.9,31
2021-07-01,Madinah,Business & Licensing,Call Center,11158,7214,28.8,31.6,24.13,3.88,89.3,8
2021-07-01,Madinah,Business & Licensing,Mobile App,7463,2811,28.8,14.6,5.28,4.3,97.7,3
2021-07-01,Madinah,Business & Licensing,Web Portal,8900,4498,28.8,17.7,8.26,4.02,94.6,3
2021-07-01,Madinah,Education & Training,Branch,37706,29181,32.6,30.1,33.41,3.69,91.6,36
2021-07-01,Madinah,Education & Training,Call Center,16268,10991,32.6,18.5,16.57,4.0,86.9,8
2021-07-01,Madinah,Education & Training,Mobile App,11747,4704,32.6,6.2,3.99,4.6,98.5,3
2021-07-01,Madinah,Education & Training,Web Portal,14230,7055,32.6,9.9,5.77,4.46,99.5,5
2021-07-01,Madinah,Health Services,Branch,46659,37921,30.2,31.4,46.13,3.7,87.0,58
2021-07-01,Madinah,Health Services,Call Center,22295,14567,30.2,20.8,20.74,4.14,85.9,12
2021-07-01,Madinah,Health Services,Mobile App,13277,5173,30.2,6.8,4.46,4.52,99.5,4
2021-07-01,Madinah,Health Services,Web Portal,16641,8515,30.2,10.2,6.93,4.48,97.4,6
2021-07-01,Madinah,Identity & Civil Affairs,Branch,50297,41537,28.7,37.0,40.76,3.64,90.3,61
2021-07-01,Madinah,Identity & Civil Affairs,Call Center,21173,13490,28.7,23.9,20.13,3.93,88.2,17
2021-07-01,Madinah,Identity & Civil Affairs,Mobile App,13447,4978,28.7,7.7,3.96,4.71,95.9,2
2021-07-01,Madinah,Identity & Civil Affairs,Web Portal,16466,8030,28.7,12.1,6.43,4.42,97.4,7
2021-07-01,Madinah,Justice & Notary,Branch,20839,17354,27.8,63.7,53.18,3.43,85.0,27
2021-07-01,Madinah,Justice & Notary,Call Center,8182,5238,27.8,41.9,25.23,3.69,88.4,7
2021-07-01,Madinah,Justice & Notary,Mobile App,4934,1977,27.8,12.3,5.21,4.38,99.3,2
2021-07-01,Madinah,Justice & Notary,Web Portal,5911,2957,27.8,19.3,8.35,4.22,92.4,3
2021-07-01,Madinah,Labour & HR Services,Branch,33112,28229,29.6,42.7,40.58,3.55,88.7,37
2021-07-01,Madinah,Labour & HR Services,Call Center,14973,9931,29.6,23.7,19.58,3.86,89.9,11
2021-07-01,Madinah,Labour & HR Services,Mobile App,8846,3515,29.6,7.6,4.66,4.45,95.6,3
2021-07-01,Madinah,Labour & HR Services,Web Portal,10568,5579,29.6,13.3,6.56,4.23,96.1,5
2021-07-01,Madinah,Municipal Services,Branch,32930,28331,27.9,40.3,44.02,3.56,88.2,36
2021-07-01,Madinah,Municipal Services,Call Center,14322,9160,27.9,26.6,21.64,3.77,87.7,12
2021-07-01,Madinah,Municipal Services,Mobile App,9333,3478,27.9,8.6,4.96,4.43,97.6,3
2021-07-01,Madinah,Municipal Services,Web Portal,10617,5265,27.9,14.7,7.1,4.1,91.0,9
2021-07-01,Madinah,Social Support & Subsidies,Branch,27497,22310,28.4,39.6,39.76,3.8,88.7,35
2021-07-01,Madinah,Social Support & Subsidies,Call Center,10552,6728,28.4,23.6,20.37,3.93,85.8,9
2021-07-01,Madinah,Social Support & Subsidies,Mobile App,6523,2399,28.4,7.5,4.62,4.52,97.5,2
2021-07-01,Madinah,Social Support & Subsidies,Web Portal,8065,4157,28.4,12.6,6.43,4.27,93.4,4
2021-07-01,Madinah,Traffic & Transport,Branch,43783,35095,30.1,28.5,37.83,3.46,88.0,43
2021-07-01,Madinah,Traffic & Transport,Call Center,18574,12246,30.1,19.7,19.22,3.74,87.8,17
2021-07-01,Madinah,Traffic & Transport,Mobile App,12315,4522,30.1,6.1,3.97,4.48,95.0,4
2021-07-01,Madinah,Traffic & Transport,Web Portal,13624,6985,30.1,10.8,5.79,4.19,95.1,9
2021-07-01,Makkah,Business & Licensing,Branch,115653,92945,30.0,139.9,53.28,2.94,81.4,209
2021-07-01,Makkah,Business & Licensing,Call Center,51619,34648,30.0,30.7,25.13,3.3,92.9,80
2021-07-01,Makkah,Business & Licensing,Mobile App,30301,11993,30.0,13.7,5.86,4.0,94.7,24
